"mandt","matnr","aline","cdate","ctime","dat00","delb0","extra","umdat","auskt","mng01","mng02","p_ingestday","p_ingesttime"
"001","000000000743093505","0000000000","2021-12-07","07:18:03","2021-12-07","SafeSt","SafetyStock",,,"60.000-","132.000","2021-12-09","09"
"001","000000000743093505","0000000000","2021-12-06","04:03:12","2021-12-06","SafeSt","SafetyStock",,,"60.000-","206.000","2021-12-08","09"
"001","000000000743093505","0000000204","2021-12-06","04:03:12","2021-12-09","SchAgr","0007065187/00001*","2021-12-08","10","120.000","246.000","2021-12-08","09"
"001","000000000743093505","0000000000","2021-12-18","07:18:12","2021-12-18","SafeSt","SafetyStock",,,"60.000-","205.000","2021-12-20","09"
"001","000000000743093505","0000000331","2021-12-18","07:18:12","2021-12-22","SchAgr","0007065187/00001*","2021-12-21","10","60.000","239.000","2021-12-20","09"
"001","000000000743093505","0000000000","2021-12-10","07:18:29","2021-12-10","SafeSt","SafetyStock",,,"60.000-","200.000","2021-12-12","09"
"001","000000000743093505","0000000000","2021-12-15","07:17:56","2021-12-15","SafeSt","SafetyStock",,,"60.000-","188.000","2021-12-17","09"
"001","000000000743093505","0000000062","2021-12-15","07:17:56","2021-12-16","ShipNt","0185534785/0007065187","2021-12-15","10","120.000","248.000","2021-12-17","09"
"001","000000000743093505","0000000000","2021-12-14","07:17:54","2021-12-14","SafeSt","SafetyStock",,,"60.000-","134.000","2021-12-16","09"
"001","000000000743093505","0000000129","2021-12-14","07:17:54","2021-12-16","SchAgr","0007065187/00001*","2021-12-15","10","60.000","188.000","2021-12-16","09"
"001","000000000743093505","0000000000","2021-12-13","04:03:22","2021-12-13","SafeSt","SafetyStock",,,"60.000-","216.000","2021-12-15","09"
"001","000000000743093505","0000000206","2021-12-13","04:03:22","2021-12-16","SchAgr","0007065187/00001*","2021-12-15","10","60.000","193.000","2021-12-15","09"
"001","000000000743093505","0000000000","2022-01-06","07:18:03","2022-01-06","SafeSt","SafetyStock",,,"60.000-","487.000","2022-01-08","09"
"001","000000000743093505","0000000046","2022-01-06","07:18:03","2022-01-07","ShipNt","0185575553/0007065187","2022-01-10","15","120.000","563.000","2022-01-08","09"
"001","000000000743093505","0000000000","2021-12-28","07:17:51","2021-12-28","SafeSt","SafetyStock",,,"60.000-","118.000","2021-12-30","09"
"001","000000000743093505","0000000010","2021-12-28","07:17:51","2022-01-04","SchAgr","0007065187/00001*","2021-12-23","10","180.000","290.000","2021-12-30","09"
"001","000000000743093505","0000000211","2021-12-28","07:17:51","2022-01-06","SchAgr","0007065187/00001*","2022-01-07","15","120.000","391.000","2021-12-30","09"
"001","000000000743093505","0000000279","2021-12-28","07:17:51","2022-01-07","SchAgr","0007065187/00001*","2022-01-08","15","120.000","444.000","2021-12-30","09"
"001","000000000743093505","0000000000","2021-12-27","04:03:23","2021-12-27","SafeSt","SafetyStock",,,"60.000-","118.000","2021-12-29","09"
"001","000000000743093505","0000000010","2021-12-27","04:03:23","2022-01-04","SchAgr","0007065187/00001*","2021-12-23","10","180.000","290.000","2021-12-29","09"
"001","000000000743093505","0000000211","2021-12-27","04:03:23","2022-01-06","SchAgr","0007065187/00001*","2022-01-07","15","120.000","391.000","2021-12-29","09"
"001","000000000743093505","0000000279","2021-12-27","04:03:23","2022-01-07","SchAgr","0007065187/00001*","2022-01-08","15","120.000","444.000","2021-12-29","09"
"001","000000000743093505","0000000000","2021-12-22","07:18:13","2021-12-22","SafeSt","SafetyStock",,,"60.000-","77.000","2021-12-24","09"
"001","000000000743093505","0000000002","2021-12-22","07:18:13","2021-12-22","ShipNt","0185549985/0007065187","2021-12-21","10","120.000","197.000","2021-12-24","09"
"001","000000000743093505","0000000049","2021-12-22","07:18:13","2021-12-23","ShipNt","0185552082/0007065187","2021-12-22","10","120.000","271.000","2021-12-24","09"
"001","000000000743093505","0000000000","2021-12-21","07:18:17","2021-12-21","SafeSt","SafetyStock",,,"60.000-","224.000","2021-12-23","09"
"001","000000000743093505","0000000104","2021-12-21","07:18:17","2021-12-22","ShipNt","0185549985/0007065187","2021-12-21","10","120.000","242.000","2021-12-23","09"
"001","000000000743093505","0000000000","2021-12-20","04:03:17","2021-12-20","SafeSt","SafetyStock",,,"60.000-","317.000","2021-12-22","09"
"001","000000000743093505","0000000121","2021-12-20","04:03:17","2021-12-21","ShipNt","0185546399/0007065187","2021-12-20","10","60.000","258.000","2021-12-22","09"
"001","000000000743093505","0000000000","2021-12-09","07:18:01","2021-12-09","SafeSt","SafetyStock",,,"60.000-","124.000","2021-12-11","09"
"001","000000000743093505","0000000000","2021-12-16","07:18:20","2021-12-16","SafeSt","SafetyStock",,,"60.000-","110.000","2021-12-18","09"
"001","000000000743093505","0000000002","2021-12-16","07:18:20","2021-12-16","ShipNt","0185534785/0007065187","2021-12-15","10","120.000","230.000","2021-12-18","09"
"001","000000000743093505","0000000000","2021-12-17","07:18:10","2021-12-17","SafeSt","SafetyStock",,,"60.000-","154.000","2021-12-19","09"
"001","000000000743093505","0000000407","2021-12-17","07:18:10","2021-12-22","SchAgr","0007065187/00001","2021-12-21","30","60.000","233.000","2021-12-19","09"
"001","000000000743093505","0000000000","2021-12-08","07:17:55","2021-12-08","SafeSt","SafetyStock",,,"60.000-","97.000","2021-12-10","09"
