material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
8075179-08,MC10,01/21/21,SafeSt,-3,0,,,177,0
8075179-08,MC10,01/21/21,Stock,3,3,,,177,1
8075179-08,MC10,01/25/21,SchAgr,6,6,,18551914,177,2
8075179-08,MC10,01/28/21,SafeSt,-3,12,,,177,0
8075179-08,MC10,01/28/21,----->,0,0,,,177,0
8075179-08,MC10,01/28/21,Stock,15,15,,,177,1
8075179-08,MC10,01/28/21,SchAgr,6,12,,18551914,177,3
8075179-08,MC10,01/28/21,DepReq,-1,11,PLT1,,177,4
8075179-08,MC10,01/29/21,DepReq,-1,11,PLT1,,177,2
8075179-08,MC10,01/29/21,DepReq,-1,10,PLT1,,177,5
8075179-08,MC10,01/29/21,DepReq,-1,9,PLT1,,177,6
8075179-08,MC10,01/30/21,DepReq,-1,9,PLT1,,177,2
8075179-08,MC10,01/30/21,DepReq,-1,10,PLT1,,177,3
8075179-08,MC10,01/30/21,DepReq,-1,9,PLT1,,177,4
8075179-08,MC10,01/30/21,DepReq,-1,8,PLT1,,177,7
8075179-08,MC10,01/31/21,SafeSt,-3,10,,,177,0
8075179-08,MC10,01/31/21,Stock,13,13,,,177,1
8075179-08,MC10,02/01/21,ShipNt,3,12,,18551914,177,3
8075179-08,MC10,02/01/21,DepReq,-1,11,PLT1,,177,4
8075179-08,MC10,02/01/21,DepReq,-1,10,PLT1,,177,5
8075179-08,MC10,02/01/21,SchAgr,3,12,,18551914,177,5
8075179-08,MC10,02/01/21,DepReq,-1,9,PLT1,,177,6
8075179-08,MC10,02/01/21,DepReq,-1,11,PLT1,,177,6
8075179-08,MC10,02/01/21,DepReq,-1,8,PLT1,,177,7
8075179-08,MC10,02/01/21,DepReq,-1,10,PLT1,,177,7
8075179-08,MC10,02/01/21,IndReq,-1,7,,,177,8
8075179-08,MC10,02/01/21,DepReq,-1,9,PLT1,,177,8
8075179-08,MC10,02/02/21,SafeSt,-3,8,,,177,0
8075179-08,MC10,02/02/21,Stock,11,11,,,177,1
8075179-08,MC10,02/02/21,DepReq,-1,7,PLT1,,177,2
8075179-08,MC10,02/02/21,DepReq,-1,7,PLT1,,177,8
8075179-08,MC10,02/02/21,IndReq,-4,3,,,177,9
8075179-08,MC10,02/02/21,DepReq,-1,8,PLT1,,177,9
8075179-08,MC10,02/02/21,DepReq,-1,7,PLT1,,177,10
8075179-08,MC10,02/03/21,DepReq,-1,6,PLT1,,177,3
8075179-08,MC10,02/03/21,DepReq,-1,5,PLT1,,177,4
8075179-08,MC10,02/03/21,DepReq,-1,6,PLT1,,177,9
8075179-08,MC10,02/03/21,DepReq,-1,5,PLT1,,177,10
8075179-08,MC10,02/03/21,IndReq,-2,1,,,177,10
8075179-08,MC10,02/03/21,DepReq,-1,4,PLT1,,177,11
8075179-08,MC10,02/03/21,DepReq,-1,6,PLT1,,177,11
8075179-08,MC10,02/03/21,DepReq,-1,5,PLT1,,177,12
8075179-08,MC10,02/04/21,----->,0,0,,,177,0
8075179-08,MC10,02/04/21,SchAgr,3,8,,18551914,177,5
8075179-08,MC10,02/04/21,DepReq,-1,7,PLT1,,177,6
8075179-08,MC10,02/04/21,DepReq,-1,6,PLT1,,177,7
8075179-08,MC10,02/04/21,SchAgr,6,7,,18551914,177,11
8075179-08,MC10,02/04/21,SchAgr,3,7,,18551914,177,12
8075179-08,MC10,02/04/21,IndReq,-1,6,,,177,12
8075179-08,MC10,02/04/21,SchAgr,3,8,,18551914,177,13
8075179-08,MC10,02/04/21,DepReq,-1,6,PLT1,,177,13
8075179-08,MC10,02/04/21,DepReq,-1,7,PLT1,,177,14
8075179-08,MC10,02/04/21,DepReq,-1,6,PLT1,,177,15
8075179-08,MC10,02/05/21,DepReq,-1,5,PLT1,,177,8
8075179-08,MC10,02/05/21,IndReq,-1,5,,,177,13
8075179-08,MC10,02/05/21,DepReq,-1,5,PLT1,,177,14
8075179-08,MC10,02/05/21,DepReq,-1,5,PLT1,,177,16
8075179-08,MC10,02/06/21,DepReq,-1,4,PLT1,,177,9
8075179-08,MC10,02/06/21,DepReq,-1,3,PLT1,,177,10
8075179-08,MC10,02/06/21,DepReq,-1,2,PLT1,,177,11
8075179-08,MC10,02/06/21,DepReq,-1,4,PLT1,,177,15
8075179-08,MC10,02/06/21,DepReq,-1,3,PLT1,,177,16
8075179-08,MC10,02/06/21,DepReq,-1,4,PLT1,,177,17
8075179-08,MC10,02/06/21,DepReq,-1,2,PLT1,,177,17
8075179-08,MC10,02/06/21,DepReq,-1,1,PLT1,,177,18
8075179-08,MC10,02/06/21,DepReq,-1,3,PLT1,,177,18
8075179-08,MC10,02/06/21,DepReq,-1,2,PLT1,,177,19
8075179-08,MC10,02/08/21,----->,0,0,,,177,0
8075179-08,MC10,02/08/21,----->,0,0,,,177,0
