material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
8075177-10,MC10,01/21/21,SafeSt,-8,2,,,177,0
8075177-10,MC10,01/21/21,Stock,10,10,,,177,1
8075177-10,MC10,01/21/21,ShipNt,18,20,,18551914,177,2
8075177-10,MC10,01/21/21,DepReq,-1,19,PLT1,,177,3
8075177-10,MC10,01/21/21,DepReq,-1,18,PLT1,,177,4
8075177-10,MC10,01/21/21,DepReq,-1,17,PLT1,,177,5
8075177-10,MC10,01/21/21,DepReq,-1,16,PLT1,,177,6
8075177-10,MC10,01/21/21,DepReq,-1,15,PLT1,,177,7
8075177-10,MC10,01/22/21,DepReq,-1,14,PLT1,,177,8
8075177-10,MC10,01/22/21,DepReq,-1,13,PLT1,,177,9
8075177-10,MC10,01/22/21,DepReq,-1,12,PLT1,,177,10
8075177-10,MC10,01/22/21,DepReq,-1,11,PLT1,,177,11
8075177-10,MC10,01/25/21,DepReq,-1,10,PLT1,,177,12
8075177-10,MC10,01/25/21,DepReq,-1,9,PLT1,,177,13
8075177-10,MC10,01/26/21,DepReq,-1,8,PLT1,,177,14
8075177-10,MC10,01/27/21,DepReq,-1,7,PLT1,,177,15
8075177-10,MC10,01/28/21,----->,0,0,,,177,0
8075177-10,MC10,01/28/21,SafeSt,-8,24,,,177,0
8075177-10,MC10,01/28/21,Stock,32,32,,,177,1
8075177-10,MC10,01/28/21,DepReq,-1,23,PLT1,,177,2
8075177-10,MC10,01/28/21,DepReq,-1,22,PLT1,,177,3
8075177-10,MC10,01/28/21,SchAgr,9,16,,18551914,177,16
8075177-10,MC10,01/28/21,DepReq,-1,15,PLT1,,177,17
8075177-10,MC10,01/28/21,DepReq,-1,14,PLT1,,177,18
8075177-10,MC10,01/29/21,DepReq,-1,21,PLT1,,177,4
8075177-10,MC10,01/29/21,DepReq,-1,13,PLT1,,177,19
8075177-10,MC10,01/30/21,DepReq,-1,20,PLT1,,177,5
8075177-10,MC10,01/30/21,DepReq,-1,19,PLT1,,177,6
