material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
8097479-03,MC10,01/21/21,SafeSt,-4,4,,,177,0
8097479-03,MC10,01/21/21,Stock,8,8,,,177,1
8097479-03,MC10,01/25/21,SchAgr,6,10,,18551914,177,2
8097479-03,MC10,01/28/21,SafeSt,-4,16,,,177,0
8097479-03,MC10,01/28/21,----->,0,0,,,177,0
8097479-03,MC10,01/28/21,Stock,20,20,,,177,1
8097479-03,MC10,01/28/21,SchAgr,6,16,,18551914,177,3
8097479-03,MC10,01/28/21,DepReq,-1,15,PLT1,,177,4
8097479-03,MC10,01/29/21,DepReq,-1,15,PLT1,,177,2
8097479-03,MC10,01/29/21,DepReq,-1,14,PLT1,,177,5
8097479-03,MC10,01/29/21,DepReq,-1,13,PLT1,,177,6
8097479-03,MC10,01/30/21,DepReq,-1,13,PLT1,,177,2
8097479-03,MC10,01/30/21,DepReq,-1,14,PLT1,,177,3
8097479-03,MC10,01/30/21,DepReq,-1,13,PLT1,,177,4
8097479-03,MC10,01/30/21,DepReq,-1,12,PLT1,,177,7
8097479-03,MC10,01/31/21,SafeSt,-4,14,,,177,0
8097479-03,MC10,01/31/21,Stock,18,18,,,177,1
8097479-03,MC10,02/01/21,DepReq,-1,12,PLT1,,177,3
8097479-03,MC10,02/01/21,DepReq,-1,11,PLT1,,177,4
8097479-03,MC10,02/01/21,DepReq,-1,10,PLT1,,177,5
8097479-03,MC10,02/01/21,DepReq,-1,12,PLT1,,177,5
8097479-03,MC10,02/01/21,DepReq,-1,9,PLT1,,177,6
8097479-03,MC10,02/01/21,DepReq,-1,11,PLT1,,177,6
8097479-03,MC10,02/01/21,DepReq,-1,10,PLT1,,177,7
8097479-03,MC10,02/01/21,IndReq,-1,11,,,177,8
8097479-03,MC10,02/02/21,SafeSt,-4,9,,,177,0
8097479-03,MC10,02/02/21,Stock,13,13,,,177,1
8097479-03,MC10,02/02/21,DepReq,-1,8,PLT1,,177,2
8097479-03,MC10,02/02/21,DepReq,-1,8,PLT1,,177,7
8097479-03,MC10,02/02/21,DepReq,-1,9,PLT1,,177,8
8097479-03,MC10,02/02/21,DepReq,-1,8,PLT1,,177,9
8097479-03,MC10,02/02/21,IndReq,-4,7,,,177,9
8097479-03,MC10,02/03/21,DepReq,-1,7,PLT1,,177,3
8097479-03,MC10,02/03/21,DepReq,-1,6,PLT1,,177,4
8097479-03,MC10,02/03/21,DepReq,-1,7,PLT1,,177,8
8097479-03,MC10,02/03/21,DepReq,-1,6,PLT1,,177,9
8097479-03,MC10,02/03/21,DepReq,-1,7,PLT1,,177,10
8097479-03,MC10,02/03/21,DepReq,-1,5,PLT1,,177,10
8097479-03,MC10,02/03/21,IndReq,-2,5,,,177,10
