material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
8077652-06,MC10,01/21/21,SafeSt,-64,152,,,M11,0
8077652-06,MC10,01/21/21,Stock,216,216,,,M11,1
8077652-06,MC10,01/21/21,DepReq,-1,151,PLT5,,M11,2
8077652-06,MC10,01/21/21,DepReq,-1,150,PLT5,,M11,3
8077652-06,MC10,01/21/21,DepReq,-1,149,PLT5,,M11,4
8077652-06,MC10,01/21/21,DepReq,-1,148,PLT5,,M11,5
8077652-06,MC10,01/21/21,DepReq,-1,147,PLT5,,M11,6
8077652-06,MC10,01/21/21,DepReq,-1,146,PLT5,,M11,7
8077652-06,MC10,01/21/21,DepReq,-1,145,PLT5,,M11,8
8077652-06,MC10,01/22/21,DepReq,-1,144,PLT5,,M11,9
8077652-06,MC10,01/22/21,DepReq,-1,143,PLT5,,M11,10
8077652-06,MC10,01/22/21,DepReq,-1,142,PLT5,,M11,11
8077652-06,MC10,01/22/21,DepReq,-1,141,PLT5,,M11,12
8077652-06,MC10,01/22/21,DepReq,-1,140,PLT5,,M11,13
8077652-06,MC10,01/22/21,DepReq,-1,139,PLT5,,M11,14
8077652-06,MC10,01/22/21,DepReq,-1,138,PLT5,,M11,15
8077652-06,MC10,01/22/21,DepReq,-1,137,PLT5,,M11,16
8077652-06,MC10,01/22/21,DepReq,-1,136,PLT5,,M11,17
8077652-06,MC10,01/23/21,DepReq,-1,135,PLT5,,M11,18
8077652-06,MC10,01/23/21,DepReq,-1,134,PLT5,,M11,19
8077652-06,MC10,01/23/21,DepReq,-1,133,PLT5,,M11,20
8077652-06,MC10,01/23/21,DepReq,-1,132,PLT5,,M11,21
8077652-06,MC10,01/25/21,DepReq,-1,131,PLT5,,M11,22
8077652-06,MC10,01/25/21,DepReq,-1,130,PLT5,,M11,23
8077652-06,MC10,01/25/21,DepReq,-1,129,PLT5,,M11,24
8077652-06,MC10,01/25/21,DepReq,-1,128,PLT5,,M11,25
8077652-06,MC10,01/25/21,DepReq,-1,127,PLT5,,M11,26
8077652-06,MC10,01/25/21,DepReq,-1,126,PLT5,,M11,27
8077652-06,MC10,01/25/21,DepReq,-1,125,PLT5,,M11,28
